amount,hour,merchant_type,location,new_device,failed_attempts,is_fraud
11734.894994299913,6,grocery,home_city,1,5,0
2759.6465700693084,19,grocery,nearby_city,0,4,0
8932.797849583892,14,electronics,home_city,0,5,0
9070.44804933864,10,grocery,home_city,0,4,0
19174.106929788028,7,food,home_city,0,2,0
8678.62856620346,20,food,home_city,0,3,0
11031.918633564877,6,food,foreign,0,3,0
10711.70284565414,18,grocery,home_city,0,4,0
12771.55816918211,22,unknown,foreign,0,4,1
14989.833343504728,10,grocery,home_city,0,2,0
4578.333335800356,10,electronics,foreign,1,3,1
10621.615940058871,23,food,home_city,0,2,0
16535.762375589005,20,travel,foreign,0,1,0
27450.81798117548,3,electronics,home_city,0,5,1
16492.971176402545,7,grocery,home_city,0,3,0
1356.4918292550872,23,food,home_city,0,4,0
40625.20030310354,2,grocery,home_city,0,0,0
19667.7825706875,21,grocery,home_city,0,1,0
15755.495980075451,20,food,nearby_city,0,5,0
15495.88504142375,1,electronics,home_city,1,0,0
14981.98763080023,23,electronics,home_city,1,2,0
3097.1012540436527,11,electronics,nearby_city,0,5,0
17123.697231026454,5,crypto,home_city,0,2,1
8363.295349447404,1,crypto,home_city,0,2,0
17780.435787466122,20,electronics,foreign,0,4,1
16504.10514839746,0,grocery,unknown,0,2,0
12637.793581751646,11,electronics,foreign,1,0,0
17176.59584559696,21,grocery,nearby_city,1,1,0
15697.07054144326,11,food,home_city,0,4,0
8636.80014363372,16,food,unknown,0,1,0
4101.196525793908,9,electronics,home_city,0,2,0
10332.60069618585,15,electronics,home_city,0,3,0
14750.954762318148,14,grocery,nearby_city,0,5,0
8784.7500147189,14,electronics,home_city,0,4,0
13368.761004699554,18,electronics,home_city,1,2,0
1977.115783191768,11,food,home_city,0,4,0
14985.294253790928,22,food,home_city,0,3,0
16273.001035871934,19,food,home_city,0,0,0
1937.8008163000945,2,electronics,home_city,1,0,0
1873.7850585695312,4,food,home_city,0,5,0
13517.750955929332,18,grocery,home_city,0,0,0
213.79976907970683,6,grocery,home_city,0,3,0
9369.932489140181,20,food,home_city,1,1,0
11466.129742584984,8,grocery,foreign,0,3,0
6150.202421715193,6,food,home_city,0,3,0
6430.278493379094,17,food,foreign,0,2,0
1794.2506438852172,3,unknown,home_city,0,0,0
8179.634853951601,13,crypto,home_city,1,4,1
372.6011531373994,17,grocery,home_city,0,5,0
